1051822.077426,0,0,0,1,1051822.090247,1
1051822.081358,1,1,0,1,1051822.093059,1
1051822.085170,2,2,0,1,1051822.097815,1
1051822.088956,3,0,0,1,1051822.100937,1
1051822.092755,4,1,0,1,1051822.105609,1
1051822.096534,5,2,0,1,1051822.110380,1
1051822.100334,6,0,0,1,1051822.112738,1
1051822.104123,7,1,0,1,1051822.117620,1
1051822.107912,8,2,0,1,1051822.122918,1
1051822.111727,9,0,0,1,1051822.125323,1
1051822.115570,10,1,0,1,1051822.130213,1
1051822.119514,11,2,0,1,1051822.134022,1
1051822.123299,12,0,0,1,1051822.137859,1
1051822.127084,13,1,0,1,1051822.142739,1
1051822.130133,14,2,0,1,1051822.146547,1
1051822.133930,15,0,0,1,1051822.149200,1
1051822.137765,16,1,0,1,1051822.154011,1
1051822.141539,17,2,0,1,1051822.159150,1
1051822.145327,18,0,0,1,1051822.161750,1
1051822.149134,19,1,0,1,1051822.164185,1
1051822.152970,20,2,0,1,1051822.171713,1
1051822.156517,21,0,0,1,1051822.173256,1
1051822.160305,22,1,0,1,1051822.176751,1
1051822.164119,23,2,0,1,1051822.183195,1
1051822.167924,24,0,0,1,1051822.185822,1
1051822.171738,25,1,0,1,1051822.189316,1
1051822.175529,26,2,0,1,1051822.195762,1
1051822.179321,27,0,0,1,1051822.198384,1
1051822.183117,28,1,0,1,1051822.201898,1
1051822.186913,29,2,0,1,1051822.205978,1
1051822.190708,30,0,0,1,1051822.209778,1
1051822.194507,31,1,0,1,1051822.213595,1
1051822.198312,32,2,0,1,1051822.216617,1
1051822.202109,33,0,0,1,1051822.222329,1
1051822.205908,34,1,0,1,1051822.226133,1
1051822.209708,35,2,0,1,1051822.228832,1
1051822.213516,36,0,0,1,1051822.233310,1
1051822.217316,37,1,0,1,1051822.237298,1
1051822.221111,38,2,0,1,1051822.239301,1
1051822.224913,39,0,0,1,1051822.245935,1
1051822.228723,40,1,0,1,1051822.249881,1
1051822.232553,41,2,0,1,1051822.249890,1
1051822.236409,42,0,0,1,1051822.258488,1
1051822.240212,43,1,0,1,1051822.262215,1
1051822.244002,44,2,0,1,1051822.261926,1
1051822.247807,45,0,0,1,1051822.271059,1
1051822.251412,46,1,0,1,1051822.274769,1
1051822.255208,47,2,0,1,1051822.274264,1
1051822.259007,48,0,0,1,1051822.281930,1
